Booth Number	Latitude	Longitude	Search	Settlement Number	Source
94	31.787555	34.6540834	מבוא השרביטן 8 אשדוד	70	Quant
95	31.787555	34.6540834	מבוא השרביטן 8 אשדוד	70	Quant
96	31.7864648	34.6498838	הכלנית 19 אשדוד	70	Quant
97	31.787555	34.6540834	מבוא השרביטן 8 אשדוד	70	Quant
98	31.78881449999999	34.6508088	הרותם 33 אשדוד	70	Quant
99	31.7840616	34.646627	הסייפן 5 אשדוד	70	Quant
100	31.8026423	34.6403401	המפרש 15 אשדוד	70	Quant
101	31.7864648	34.6498838	הכלנית 19 אשדוד	70	Quant
102	31.7829334	34.6328731	הרי גולן 2 אשדוד	70	Quant
103	31.7829334	34.6328731	הרי גולן 2 אשדוד	70	Quant
104	31.7816684	34.6294045	חרמון 1 אשדוד	70	Quant
105	31.7816684	34.6294045	חרמון 1 אשדוד	70	Quant
106	31.804381	34.655314	חרמון 7 אשדוד	70	Quant
108	31.7824403	34.6337971	נחל שניר 1 אשדוד	70	Quant
109	31.7833011	34.6322234	הרי גולן 4 אשדוד	70	Quant
110	31.804381	34.655314	חרמון 7 אשדוד	70	Quant
111	31.801265	34.6450274	ארן זלמן אשדוד	70	Quant
112	31.801265	34.6450274	ארן זלמן אשדוד	70	Quant
113	31.7816684	34.6294045	חרמון 1 אשדוד	70	Quant
114	31.7824403	34.6337971	נחל שניר 1 אשדוד	70	Quant
115	31.78881449999999	34.6508088	הרותם 33 אשדוד	70	Quant
116	31.7972932	34.6396791	הצוללים אשדוד	70	Quant
117	31.7972932	34.6396791	הצוללים אשדוד	70	Quant
118	31.7879537	34.6521334	שד הפרחים 18 אשדוד	70	Quant
119	31.78023679999999	34.6304307	הר כנען 1 אשדוד	70	Quant
120	31.7829334	34.6328731	הרי גולן 2 אשדוד	70	Quant
121	31.7716093	34.6301226	שד רוטשילד, אשדוד	70	Google
122	31.7725233	34.632603	סירקין נחמן 2 אשדוד	70	Quant
126	31.7829317	34.6605969	ראש פינה 13 אשדוד	70	Quant
127	31.78276	34.663123	פתח תקווה 10 אשדוד	70	Quant
128	31.7833958	34.6615624	פתח תקווה 12, אשדוד	70	Google
129	31.78276	34.663123	פתח תקווה 10 אשדוד	70	Quant
131	31.7844238	34.6479525	"קק""ל 9 אשדוד"	70	Quant
132	31.7844238	34.6479525	"קק""ל 9 אשדוד"	70	Quant
133	31.7844238	34.6479525	"קק""ל 9 אשדוד"	70	Quant
134	31.7813588	34.6474167	ורדימון יצחק 6 אשדוד	70	Quant
135	31.7813588	34.6474167	ורדימון יצחק 6 אשדוד	70	Quant
136	31.7783661	34.6422743	המלך רחבעם 11 אשדוד	70	Quant
137	31.7783661	34.6422743	המלך רחבעם 11 אשדוד	70	Quant
138	31.7787859	34.6493205	"קק""ל 90א אשדוד"	70	Quant
139	31.7716675	34.6442965	המלך שלמה 43 אשדוד	70	Quant
140	31.774534	34.641347	ברק בן אבינועם אשדוד	70	Quant
141	31.7930555	34.6617148	אליעזר בן הורקנוס 18 אשדוד	70	Quant
142	31.774534	34.641347	ברק בן אבינועם אשדוד	70	Quant
143	31.7783661	34.6422743	המלך רחבעם 11 אשדוד	70	Quant
144	31.7783661	34.6422743	המלך רחבעם 11 אשדוד	70	Quant
145	31.7765054	34.6473685	המלך שלמה 27 אשדוד	70	Quant
146	31.7716675	34.6442965	המלך שלמה 43 אשדוד	70	Quant
151	31.7844238	34.6479525	"קק""ל 9 אשדוד"	70	Quant
152	31.7787859	34.6493205	"קק""ל 90א אשדוד"	70	Quant
153	31.7813588	34.6474167	ורדימון יצחק 6 אשדוד	70	Quant
990	31.7989526	34.6420656	קרן היסוד 16, אשדוד	70	Google
7	31.812414	34.6458874	יאיר אשדוד	70	Quant
37	31.8014291	34.66422530000001	חטיבת הנגב אשדוד	70	Quant
38	31.8102289	34.6447198	"האצ""ל 7 אשדוד"	70	Quant
39	31.8083501	34.6529278	הרב קוק 4 אשדוד	70	Quant
57	31.7971031	34.6516301	ברנר 15 אשדוד	70	Quant
63	31.7981154	34.6649308	בוסקילה יצחק אשדוד	70	Quant
64	31.7958649	34.6503107	טשרניחובסקי 1, אשדוד	70	Google
65	31.7958649	34.6503107	טשרניחובסקי 1, אשדוד	70	Google
66	31.7972662	34.6456077	ביאליק 10 אשדוד	70	Quant
67	31.7998104	34.6491289	שמואל הנגיד 9 אשדוד	70	Quant
68	31.7990411	34.6421245	קרן היסוד 12 אשדוד	70	Quant
70	31.7944369	34.65378250000001	אלבז נתן 19 אשדוד	70	Quant
81	31.7972662	34.6456077	ביאליק 10 אשדוד	70	Quant
107	31.804381	34.655314	חרמון 7 אשדוד	70	Quant
123	31.7716093	34.6301226	שד רוטשילד, אשדוד	70	Google
124	31.7829317	34.6605969	ראש פינה 13 אשדוד	70	Quant
125	31.78276	34.663123	פתח תקווה 10 אשדוד	70	Quant
130	31.7826135	34.6635	פתח תקווה 12 אשדוד	70	Quant
147	31.7765054	34.6473685	המלך שלמה 27 אשדוד	70	Quant
148	31.774534	34.641347	ברק בן אבינועם אשדוד	70	Quant
149	31.7716675	34.6442965	המלך שלמה 43 אשדוד	70	Quant
150	31.7716675	34.6442965	המלך שלמה 43 אשדוד	70	Quant
154	31.779361	34.6491503	"קק""ל 55 אשדוד"	70	Quant
155	31.7787859	34.6493205	"קק""ל 90 אשדוד"	70	Quant
156	31.7813588	34.6474167	ורדימון יצחק 6 אשדוד	70	Quant
157	31.7765054	34.6473685	המלך שלמה 27 אשדוד	70	Quant
158	31.779361	34.6491503	"קק""ל 55 אשדוד"	70	Quant
159	31.7879537	34.6521334	שד הפרחים 18 אשדוד	70	Quant
160	31.7864648	34.6498838	הכלנית 19 אשדוד	70	Quant
161	31.7840616	34.646627	הסייפן 5 אשדוד	70	Quant
162	31.78881449999999	34.6508088	הרותם 33 אשדוד	70	Quant
163	31.7903277	34.6466749	העצמאות 63 אשדוד	70	Quant
164	31.7922103	34.6439334	העצמאות 7 אשדוד	70	Quant
165	31.788998	34.6440517	העצמאות 54 אשדוד	70	Quant
166	31.7898175	34.6453422	העצמאות אשדוד	70	Quant
167	31.788998	34.6440517	העצמאות 54 אשדוד	70	Quant
168	31.7922103	34.6439334	העצמאות 7 אשדוד	70	Quant
169	31.7898175	34.6453422	העצמאות אשדוד	70	Quant
170	31.78023679999999	34.6304307	הר כנען 1 אשדוד	70	Quant
171	31.7898175	34.6453422	העצמאות אשדוד	70	Quant
172	31.7829334	34.6328731	הרי גולן 2 אשדוד	70	Quant
173	31.78023679999999	34.6304307	הר כנען 1 אשדוד	70	Quant
174	31.7816684	34.6294045	חרמון 1 אשדוד	70	Quant
175	31.7816684	34.6294045	חרמון 1 אשדוד	70	Quant
176	31.785172	34.6406275	הציונות 107 אשדוד	70	Quant
177	31.7992901	34.649922	אבן עזרא 6, אשדוד	70	Google
178	31.78023679999999	34.6304307	הר כנען 1 אשדוד	70	Quant
179	31.7824403	34.6337971	נחל שניר 1 אשדוד	70	Quant
180	31.7930555	34.6617148	אליעזר בן הורקנוס 18 אשדוד	70	Quant
181	31.7930555	34.6617148	אליעזר בן הורקנוס 18 אשדוד	70	Quant
182	31.7930555	34.6617148	אליעזר בן הורקנוס 18 אשדוד	70	Quant
183	31.7895729	34.6623922	"רשב""י אשדוד"	70	Quant
184	31.7876436	34.6649632	רב ינאי 3 אשדוד	70	Quant
185	31.7876436	34.6649632	רב ינאי 3 אשדוד	70	Quant
186	31.7876436	34.6649632	רב ינאי 3 אשדוד	70	Quant
187	31.7876436	34.6649632	רב ינאי 3 אשדוד	70	Quant
189	31.78276	34.663123	פתח תקווה 10 אשדוד	70	Quant
190	31.7829317	34.6605969	ראש פינה 13 אשדוד	70	Quant
191	31.7833958	34.6615624	פתח תקווה 12, אשדוד	70	Google
192	31.78276	34.663123	פתח תקווה 10 אשדוד	70	Quant
193	31.7829317	34.6605969	ראש פינה 13 אשדוד	70	Quant
194	31.7833958	34.6615624	פתח תקווה 12, אשדוד	70	Google
196	31.7840616	34.646627	הסייפן 5 אשדוד	70	Quant
197	31.787555	34.6540834	מבוא השרביטן 8 אשדוד	70	Quant
198	31.7725233	34.632603	סירקין נחמן 2 אשדוד	70	Quant
199	31.7717623	34.6298119	שד רוטשילד אשדוד	70	Quant
200	31.7716093	34.6301226	שד רוטשילד, אשדוד	70	Google
201	31.7716093	34.6301226	שד רוטשילד, אשדוד	70	Google
202	31.7725233	34.632603	סירקין נחמן 2 אשדוד	70	Quant
203	31.7725233	34.632603	סירקין נחמן 2 אשדוד	70	Quant
204	31.7693746	34.6226603	ברקת 4 אשדוד	70	Quant
205	31.7966695	34.6422726	הרב שאולי 8 אשדוד	70	Quant
206	31.7998104	34.6491289	שמואל הנגיד 9 אשדוד	70	Quant
207	31.7989526	34.6420656	קרן היסוד 16 אשדוד	70	Quant
208	31.812414	34.6458874	יאיר אשדוד	70	Quant
209	31.7958649	34.6503107	טשרניחובסקי 1, אשדוד	70	Google
210	31.7989538	34.6652054	חטיבת הנגב 45 אשדוד	70	Quant
211	31.7992162	34.66429189999999	חטיבת הנגב 30 אשדוד	70	Quant
212	31.8014291	34.66422530000001	חטיבת הנגב אשדוד	70	Quant
213	31.7981154	34.6649308	בוסקילה יצחק אשדוד	70	Quant
214	31.8123546	34.6457492	יאיר 6 אשדוד	70	Quant
215	31.80579669999999	34.6428143	הארז 6 אשדוד	70	Quant
216	31.7788222	34.6381805	שבט ראובן 2 אשדוד	70	Quant
217	31.7788222	34.6381805	שבט ראובן 2 אשדוד	70	Quant
218	31.781203	34.6412381	תשרי 11 אשדוד	70	Quant
219	31.781203	34.6412381	תשרי 11 אשדוד	70	Quant
220	31.781203	34.6412381	תשרי 11 אשדוד	70	Quant
221	31.781203	34.6412381	תשרי 11 אשדוד	70	Quant
222	31.7788222	34.6381805	שבט ראובן 2 אשדוד	70	Quant
223	31.7972932	34.6396791	הצוללים אשדוד	70	Quant
224	31.7788222	34.6381805	שבט ראובן 2 אשדוד	70	Quant
225	31.7751206	34.6374546	שבט בנימין 19 אשדוד	70	Quant
226	31.7788222	34.6381805	שבט ראובן 2 אשדוד	70	Quant
227	31.7903277	34.6466749	העצמאות 63 אשדוד	70	Quant
228	31.788998	34.6440517	העצמאות 54 אשדוד	70	Quant
229	31.788998	34.6440517	העצמאות 54 אשדוד	70	Quant
230	31.7903277	34.6466749	העצמאות 63 אשדוד	70	Quant
231	31.7922103	34.6439334	העצמאות 7 אשדוד	70	Quant
232	31.7898175	34.6453422	העצמאות אשדוד	70	Quant
233	31.7903277	34.6466749	העצמאות 63 אשדוד	70	Quant
234	31.7922103	34.6439334	העצמאות 7 אשדוד	70	Quant
235	31.7958649	34.6503107	טשרניחובסקי 1, אשדוד	70	Google
236	31.7972662	34.6456077	ביאליק 10 אשדוד	70	Quant
240	31.76676089999999	34.6314607	שהם 2 אשדוד	70	Quant
241	31.7725233	34.632603	סירקין נחמן 2 אשדוד	70	Quant
242	31.76676089999999	34.6314607	שהם 2 אשדוד	70	Quant
245	31.7751206	34.6374546	שבט בנימין 19 אשדוד	70	Quant
250	31.8039021	34.6465645	סיני 25 אשדוד	70	Quant
252	31.7971031	34.6516301	ברנר 15 אשדוד	70	Quant
952	31.7972932	34.6396791	הצוללים אשדוד	70	Quant
953	31.7903277	34.6466749	העצמאות 63 אשדוד	70	Quant
954	31.7751206	34.6374546	שבט בנימין 19 אשדוד	70	Quant
188	31.7903277	34.6466749	העצמאות 63 אשדוד	70	Quant
195	31.7895729	34.6623922	"רשב""י אשדוד"	70	Quant
237	31.785172	34.6406275	הציונות 107 אשדוד	70	Quant
238	31.781203	34.6412381	תשרי 11 אשדוד	70	Quant
239	31.7824403	34.6337971	נחל שניר 1 אשדוד	70	Quant
243	31.7693746	34.6226603	ברקת 4 אשדוד	70	Quant
244	31.7751206	34.6374546	שבט בנימין 19 אשדוד	70	Quant
246	31.78881449999999	34.6508088	הרותם 33 אשדוד	70	Quant
247	31.7829334	34.6328731	הרי גולן 2 אשדוד	70	Quant
248	31.80759879999999	34.65589629999999	אבן גבירול 6 אשדוד	70	Quant
249	31.8016083	34.6601158	שד עוזיהו אשדוד	70	Quant
251	31.7812253	34.6373727	אב 4 אשדוד	70	Quant
253	31.8007539	34.6600312	שד עוזיהו 26 אשדוד	70	Quant
254	31.788998	34.6440517	העצמאות 54 אשדוד	70	Quant
255	31.804381	34.655314	חרמון 7 אשדוד	70	Quant
256	31.785172	34.6406275	הציונות 107 אשדוד	70	Quant
257	31.80233209999999	34.6401185	המפרש 15, אשדוד	70	Google
258	31.812414	34.6458874	יאיר אשדוד	70	Quant
259	31.8102214	34.6491291	ההסתדרות 8, אשדוד	70	Google
260	31.7693746	34.6226603	ברקת 4 אשדוד	70	Quant
261	31.781203	34.6412381	תשרי 11 אשדוד	70	Quant
262	31.7816509	34.6474104	ורדימון יצחק 6, אשדוד	70	Google
264	31.7922103	34.6439334	העצמאות 7 אשדוד	70	Quant
265	31.7876436	34.6649632	רב ינאי 3 אשדוד	70	Quant
266	31.7833011	34.6322234	הרי גולן 4 אשדוד	70	Quant
267	31.805497	34.658573	מורדי הגטאות, אשדוד	70	Google
270	31.7833011	34.6322234	הרי גולן 4 אשדוד	70	Quant
272	31.7989538	34.6652054	חטיבת הנגב 45 אשדוד	70	Quant
273	31.7895729	34.6623922	"רשב""י אשדוד"	70	Quant
274	31.7898175	34.6453422	העצמאות אשדוד	70	Quant
275	31.785172	34.6406275	הציונות 107 אשדוד	70	Quant
276	31.7788222	34.6381805	שבט ראובן 2 אשדוד	70	Quant
277	31.7693746	34.6226603	ברקת 4 אשדוד	70	Quant
278	31.7972932	34.6396791	הצוללים אשדוד	70	Quant
279	31.801265	34.6450274	ארן זלמן אשדוד	70	Quant
280	31.7903277	34.6466749	העצמאות 63 אשדוד	70	Quant
281	31.7687771	34.6367275	תפוז 5 אשדוד	70	Quant
283	31.7816684	34.6294045	חרמון 1 אשדוד	70	Quant
285	31.8073597	34.6513303	המעפילים 21 אשדוד	70	Quant
950	31.805497	34.658573	מורדי הגטאות, אשדוד	70	Google
955	31.7687771	34.6367275	תפוז 5 אשדוד	70	Quant
282	31.7687771	34.6367275	תפוז 5 אשדוד	70	Quant
