סמל ועדה,ברזל,שם ישוב,סמל ישוב,קלפי,lon,lat,Address,ריכוז,שופט,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
18,9808,אבו רובייעה (שבט),966,1.3,35.083681,31.249246,כסיפה כסיפה אבו רובייעה (שבט),1,0,664,280,9,271,1,0,243,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,16,0,1,0,0,0,0,1,2,1
18,9809,אבו רובייעה (שבט),966,1.4,35.083681,31.249246,כסיפה כסיפה אבו רובייעה (שבט),1,0,664,288,5,283,5,0,230,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,7,0,1,0,23,0,0,2,1,2,1,4,0,1
18,9810,אבו רובייעה (שבט),966,1.5,35.083681,31.249246,כסיפה כסיפה אבו רובייעה (שבט),1,0,664,235,4,231,0,0,218,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0
18,9811,אבו רובייעה (שבט),966,1.6,35.083681,31.249246,כסיפה כסיפה אבו רובייעה (שבט),1,0,664,252,2,250,3,1,230,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,2,0,0,0,0,1,2,1
18,9812,אבו רוקייק (שבט),961,1,34.861,31.248,אבו רוקייק (שבט),1,0,624,171,1,170,0,0,162,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0
18,9813,אבו רוקייק (שבט),961,2,34.861,31.248,אבו רוקייק (שבט),1,0,655,287,6,281,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,1,0,0,0,0,0,0,0
18,9814,אבו רוקייק (שבט),961,3,34.861,31.248,אבו רוקייק (שבט),1,0,621,289,2,287,0,0,271,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,1,2,0,0,0,0,0
18,9815,אבו רוקייק (שבט),961,4,34.861,31.248,אבו רוקייק (שבט),1,0,756,327,2,325,0,0,310,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,7,0,0,0,0,0,0,1,0,3
18,9816,אבו רוקייק (שבט),961,5,34.861,31.248,אבו רוקייק (שבט),1,0,666,279,1,278,1,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1
18,9817,אבו רוקייק (שבט),961,6,34.861,31.248,אבו רוקייק (שבט),1,0,696,315,2,313,0,0,298,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,8,0,0,0,0,0,0,0,0,1
18,9818,אבו רוקייק (שבט),961,7,34.861,31.248,אבו רוקייק (שבט),1,0,747,256,2,254,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,14,0,0,0,0,0,0,0,0,0
18,9819,אבו תלול,1375,1,34.913514,31.142612,אבו תלול,1,0,449,286,3,283,1,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2
18,9820,אבו תלול,1375,2,34.913514,31.142612,אבו תלול,1,0,456,340,2,338,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,1,0,0,0,0,2,1
8,3366,אבטין,652,1,35.114601,32.759963,אבטין,1,0,577,271,4,267,6,0,209,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,5,0,0,0,36,0,0,0,0,0,1,1,1,0
8,3367,אבטין,652,2,35.114601,32.759963,אבטין,1,0,569,256,2,254,1,0,215,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,5,0,0,0,29,0,0,0,0,0,0,0,0,0
8,3368,אבטין,652,3,35.114601,32.759963,אבטין 1 אבטין,2,0,649,382,4,378,3,0,338,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,1,0,19,0,0,0,0,0,0,0,0,10
6,2548,אבטליון,1275,1,35.350442,32.835781,אבטליון,1,0,305,233,0,233,17,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,7,17,36,0,0,0,135,0,0,0,0,0,0,0,0,0
9,4163,אביאל,679,1,34.993493,32.531346,אביאל,1,0,520,399,0,399,29,2,3,0,0,0,15,9,0,0,0,0,0,0,0,2,8,76,68,0,0,0,183,0,0,1,0,0,0,0,0,3
3,1116,אביבים,1115,1,35.470338,33.089381,אביבים,1,0,327,234,0,234,5,8,0,0,0,0,3,3,0,0,0,0,0,0,0,11,1,148,0,0,0,0,2,0,0,0,0,0,0,0,0,53
17,9043,אביגדור,819,1,34.7900679,32.0669871,אביגדור,1,0,628,489,1,488,54,0,0,0,1,0,43,27,0,0,0,0,0,0,0,1,7,36,35,0,0,0,277,0,0,0,0,0,0,0,0,7
10,4563,אביחיל,175,1,34.871229,32.350708,אביחיל,1,1,411,287,1,286,31,0,2,0,0,0,4,11,0,0,0,0,0,0,0,0,9,39,36,1,0,0,150,0,0,0,0,0,0,0,2,1
10,4564,אביחיל,175,2,34.8704098,32.3496536,הגדוד העברי 12 אביחיל,2,0,573,446,0,446,36,0,3,0,0,0,2,11,0,0,0,0,0,0,0,1,15,46,44,0,0,0,282,0,0,0,0,0,0,0,0,6
5,1565,אביטל,2052,1,35.3057084,32.558104,אביטל,1,0,388,308,2,306,8,9,0,0,0,0,4,26,1,0,0,0,0,0,0,13,6,186,0,0,0,0,29,0,0,0,0,0,0,0,0,24
2,822,אביעזר,1070,1,35.0192782,31.682426,אביעזר,1,0,562,441,0,441,25,0,5,2,0,0,31,31,0,0,0,0,0,0,0,12,28,144,27,0,0,0,120,0,0,0,0,0,0,1,0,15
6,2722,אבירים,1220,1,35.286044,33.038086,אבירים,1,0,195,135,0,135,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,3,48,0,0,0,64,0,0,0,0,0,0,0,0,2
10,4565,אבן יהודה,182,1.1,34.8837567,32.2806729,הבנים אבן יהודה,2,0,564,419,0,419,28,6,0,0,0,0,0,22,0,0,1,0,0,0,0,5,12,139,25,0,0,0,164,0,0,0,0,0,0,0,0,17
10,4566,אבן יהודה,182,1.2,34.8837567,32.2806729,הבנים אבן יהודה,2,0,564,444,0,444,27,11,0,0,0,0,0,29,0,1,0,0,0,0,0,8,13,196,19,0,0,0,118,0,0,0,0,0,0,0,1,21
10,4567,אבן יהודה,182,1.3,34.8837567,32.2806729,הבנים אבן יהודה,2,0,562,421,1,420,22,10,0,0,0,0,1,28,0,1,0,0,0,0,0,16,12,157,17,0,0,0,131,0,0,0,0,0,0,0,0,25
10,4568,אבן יהודה,182,2,34.8929975,32.2743646,מכבי 4 אבן יהודה,8,0,572,413,0,413,27,1,0,0,0,0,0,19,0,1,0,0,0,0,0,4,9,135,23,0,0,0,167,0,0,0,0,0,0,0,0,27
10,4569,אבן יהודה,182,3,34.8896974,32.2714517,ההסתדרות 18 אבן יהודה,9,1,691,537,1,536,40,0,2,0,0,0,1,14,0,1,0,0,0,0,0,0,29,76,41,0,0,0,330,0,0,0,0,0,0,0,0,2
10,4570,אבן יהודה,182,4,34.8819367,32.265267,העצמאות 140 אבן יהודה,4,0,751,549,0,549,72,1,1,0,0,0,1,7,0,0,0,1,0,0,0,1,8,90,29,0,0,0,334,0,0,0,0,0,0,0,0,4
10,4571,אבן יהודה,182,5,34.88655,32.2713911,הדקל 30 אבן יהודה,5,0,640,438,3,435,23,2,1,0,0,0,2,24,0,1,0,1,0,0,0,4,13,106,26,0,0,0,221,0,0,0,0,0,0,0,0,11
10,4572,אבן יהודה,182,6,34.8864278,32.2695345,המיסדים 74 אבן יהודה,7,0,629,495,0,495,26,3,1,0,0,0,0,11,0,0,0,0,0,0,0,1,29,63,45,0,0,0,311,0,0,0,0,0,0,0,2,3
10,4573,אבן יהודה,182,7,34.8819367,32.265267,העצמאות 140 אבן יהודה,4,0,799,627,2,625,44,1,0,0,0,0,0,25,0,0,0,0,0,0,0,1,27,101,27,0,0,0,396,0,0,0,0,0,0,0,0,3
10,4574,אבן יהודה,182,9,34.8819367,32.265267,העצמאות 140 אבן יהודה,4,0,711,537,0,537,52,1,3,0,0,0,0,14,0,0,0,0,0,0,0,0,18,55,63,1,0,0,330,0,0,0,0,0,0,0,0,0
10,4575,אבן יהודה,182,10,34.8864278,32.2695345,המיסדים 74 אבן יהודה,3,0,664,484,0,484,33,4,0,0,0,0,0,20,0,0,0,0,0,0,0,4,39,123,26,0,0,0,222,0,0,0,0,0,0,0,0,13
10,4576,אבן יהודה,182,11,34.8819367,32.265267,העצמאות 140 אבן יהודה,4,0,739,570,1,569,46,2,1,0,0,0,1,8,0,2,0,0,0,0,0,1,25,112,41,0,0,0,328,0,0,0,0,0,0,0,0,2
10,4577,אבן יהודה,182,12,34.8929975,32.2743646,מכבי 4 אבן יהודה,8,0,630,470,1,469,33,0,2,1,0,0,0,9,0,0,0,0,0,0,0,1,22,64,63,0,0,0,267,0,0,0,0,0,0,0,0,7
10,4578,אבן יהודה,182,14,34.8819367,32.265267,העצמאות 140 אבן יהודה,4,0,747,588,1,587,46,9,1,0,0,0,0,10,0,1,0,0,0,0,0,4,28,106,62,0,0,0,313,0,0,0,0,0,0,0,0,7
10,4579,אבן יהודה,182,15,34.8819367,32.265267,העצמאות 140 אבן יהודה,4,0,643,520,2,518,28,1,1,0,0,0,0,15,0,0,0,0,0,0,0,2,20,61,65,0,0,0,324,0,0,0,0,0,0,0,0,1
6,2191,אבן מנחם,1081,1,35.295219,33.075143,אבן מנחם,1,1,288,200,5,195,30,1,0,0,0,0,7,8,0,0,0,0,0,0,0,0,3,97,3,0,0,0,24,0,0,0,0,0,0,0,0,22
2,741,אבן ספיר,783,1,35.134991,31.7625,אבן ספיר,1,1,495,363,2,361,12,0,1,0,0,0,149,8,0,0,0,0,0,0,0,7,5,111,8,0,0,0,46,0,0,0,0,0,0,1,0,13
17,9044,אבן שמואל,400,1,34.762963,31.576429,אבן שמואל,1,0,471,407,2,405,7,17,0,0,0,0,0,184,0,0,0,0,0,0,0,41,6,115,0,0,0,0,2,0,0,0,0,0,0,0,0,33
17,9045,אבן שמואל,400,2,34.762963,31.576429,אבן שמואל,1,0,429,370,2,368,5,8,0,0,0,0,0,140,0,0,0,0,0,0,0,41,0,135,1,0,0,0,6,0,0,0,0,0,0,0,0,32
4,1421,אבני איתן,4011,1,35.765777,32.824808,אבני איתן,1,0,399,306,0,306,7,6,1,0,0,0,3,165,0,0,0,0,0,0,0,41,4,48,2,0,0,0,22,0,0,2,0,0,0,0,0,5
10,4685,אבני חפץ,3793,1,35.074551,32.284628,אבני חפץ,3,0,519,410,0,410,0,3,0,0,0,0,1,228,0,0,0,0,0,0,0,59,1,84,0,0,0,0,3,1,0,0,0,0,0,0,0,30
10,4686,אבני חפץ,3793,2,35.074551,32.284628,אבני חפץ,3,0,561,455,2,453,0,11,0,0,0,0,0,185,0,1,0,0,0,0,0,89,1,116,0,0,0,0,1,0,0,0,0,0,0,0,0,49
18,9669,אבשלום,1311,1,34.331509,31.195273,אבשלום,1,0,247,157,2,155,3,3,0,0,0,0,2,0,0,0,0,1,0,0,0,2,78,35,3,1,1,0,26,0,0,0,0,0,0,0,0,0
2,958,אדורה,3759,1,35.0166521,31.5507925,אדורה,1,0,246,190,0,190,2,1,1,0,0,0,2,64,0,0,0,0,0,0,0,23,9,51,1,0,0,0,32,0,0,0,0,0,0,0,0,4
5,1566,אדירים,113,1,35.271637,32.54894100000001,אדירים,1,0,230,191,0,191,2,8,0,0,0,0,1,13,0,1,0,0,0,0,0,9,2,84,0,0,0,0,9,0,0,0,0,0,0,0,0,62
6,2192,אדמית,1068,1,35.20951,33.078842,אדמית,1,0,357,198,0,198,23,0,5,1,2,0,0,4,0,0,0,0,0,0,0,3,16,28,47,0,0,0,67,1,0,0,0,0,0,0,0,1
2,823,אדרת,1123,1,34.99444,31.659715,אדרת,1,0,555,396,0,396,15,1,0,0,0,0,45,59,0,1,0,0,0,0,0,4,3,184,10,0,0,0,39,0,0,0,0,0,0,0,0,35
10,4580,אודים,446,1,34.846995,32.266865,אודים,1,0,395,292,0,292,11,0,0,0,0,0,7,5,0,0,0,0,0,0,0,2,13,41,38,0,0,0,172,0,0,0,0,0,0,0,0,3
10,4581,אודים,446,2,34.846995,32.266865,אודים,1,0,403,325,0,325,19,0,1,0,0,0,4,5,0,0,0,0,0,0,0,2,13,38,44,0,0,0,195,0,0,0,0,0,0,0,0,4
3,1277,אודם,4010,1,35.7495651,33.1933716,אודם,1,0,121,98,0,98,14,0,0,0,0,0,8,5,0,1,0,0,0,0,0,2,3,12,5,0,0,0,48,0,0,0,0,0,0,0,0,0
18,9670,אוהד,1046,1,34.431893,31.238436,אוהד,1,0,257,173,0,173,13,0,2,0,0,0,7,15,0,0,0,0,0,0,0,2,5,57,5,0,0,0,63,0,0,0,0,0,0,0,0,4
9,4092,אום אל-פחם,2710,1,35.148529,32.517127,שכ אלעיון אום אל-פחם,1,0,700,303,5,298,1,0,286,0,0,0,1,0,0,0,0,4,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,4093,אום אל-פחם,2710,2,35.148529,32.517127,שכ אלעיון אום אל-פחם,28,0,772,390,5,385,1,0,371,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,0,4,0,0,0,0,0,1,0,0,0
9,4094,אום אל-פחם,2710,3,35.148529,32.517127,שכ אלכלאיל אום אל-פחם,3,0,636,359,5,354,0,0,341,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,1,0,0,0,0,1
9,4095,אום אל-פחם,2710,4,35.148529,32.517127,שכ אלכלאיל אום אל-פחם,3,0,751,391,5,386,1,0,372,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0
9,4096,אום אל-פחם,2710,5,35.148529,32.517127,שכ אלכלאיל אום אל-פחם,3,0,713,367,3,364,0,0,345,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,6,0,0,0,3,1,0,0,0,1,0,1,1,1
9,4097,אום אל-פחם,2710,6,35.148529,32.517127,שכ אלבאטן אום אל-פחם,5,0,675,363,4,359,2,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,4,0,0,0,0,0,0,0,0,0
9,4098,אום אל-פחם,2710,7,35.148529,32.517127,שכ אלדהר אום אל-פחם,27,0,692,328,7,321,2,0,296,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,6,0,0,0,6,0,0,0,0,0,0,0,0,2
9,4099,אום אל-פחם,2710,8,35.148529,32.517127,שכ אלעיון אום אל-פחם,1,0,610,284,2,282,2,0,269,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,1,0
9,4100,אום אל-פחם,2710,9,35.141062,32.533037,שכ עין איברהים אום אל-פחם,7,0,658,350,3,347,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0
9,4101,אום אל-פחם,2710,10,35.148529,32.517127,שכ עראק אלשבאב אום אל-פחם,8,0,570,412,6,406,5,0,368,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0,1,0,0,0,0,0,0
9,4102,אום אל-פחם,2710,11,35.148529,32.517127,שכ אלמסאיאת אום אל-פחם,9,0,645,354,5,349,0,0,332,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,9,0,0,0,1,0,0,0,0,1
9,4103,אום אל-פחם,2710,12.1,35.148529,32.517127,שכ ע'רבי אום אל-פחם,10,0,692,302,0,302,1,0,288,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,1,0,0,4,0,0,0,0,0,0,0,0,1
9,4104,אום אל-פחם,2710,12.2,35.148529,32.517127,שכ ע'רבי אום אל-פחם,10,0,692,316,6,310,2,0,294,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0
9,4105,אום אל-פחם,2710,12.3,35.148529,32.517127,שכ ע'רבי אום אל-פחם,10,0,692,319,3,316,1,0,299,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,6,0,1,0,2,0,1,0,0,1,0,0,0,0
9,4106,אום אל-פחם,2710,12.4,35.148529,32.517127,שכ ע'רבי אום אל-פחם,10,0,692,339,2,337,1,0,326,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,2,0
9,4107,אום אל-פחם,2710,14,35.1593242,32.5190775,שכ ג'דוע אום אל-פחם,12,0,585,268,2,266,2,0,247,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,11,0,0,0,1,0,0,0,0,0,0,1,0,1
9,4108,אום אל-פחם,2710,16,35.155223,32.512929,שכ אלמלסא אום אל-פחם,16,0,536,262,6,256,1,0,238,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,2,0,1,0,1,1,0,0,1,0,0,1
9,4109,אום אל-פחם,2710,17,35.155223,32.512929,שכ אלמלסא אום אל-פחם,16,0,541,252,1,251,0,0,236,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9,0,0,0,2,0,0,0,0,1,0,0,0,0
9,4110,אום אל-פחם,2710,18,35.148529,32.517127,שכ אלכדור אום אל-פחם,15,0,765,409,6,403,0,0,388,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,7,0,0,1,0,1,1,1,0,0
9,4111,אום אל-פחם,2710,19,35.155223,32.512929,שכ אלמלסא אום אל-פחם,16,0,782,409,4,405,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,0,3,0,0,0,0,0,0,0,1,0,0,0
9,4112,אום אל-פחם,2710,20,35.142063,32.510051,שכ עין ג'ראר אום אל-פחם,17,0,717,366,4,362,0,0,349,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,0,0,0,4,0,0,0,0,0,1,1,0,0
9,4113,אום אל-פחם,2710,21,35.154513,32.510994,שכ ואדי נסור אום אל-פחם,18,0,715,447,19,428,1,0,396,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,22,0,0,0,1,1,0,0,0,0,0,0,0,1
9,4114,אום אל-פחם,2710,22,35.142063,32.510051,שכ עין ג'ראר אום אל-פחם,31,0,522,284,0,284,1,0,270,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,4,0,0,0,3,0,0,0,0,1,0,0,0,0
9,4115,אום אל-פחם,2710,23,35.148529,32.517127,שכ אלעיון אום אל-פחם,1,0,688,354,6,348,0,1,334,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,3,0,0,0,0,2,0,0,0,0
9,4116,אום אל-פחם,2710,24,35.148529,32.517127,שכ אלכדור אום אל-פחם,15,0,716,317,2,315,1,0,304,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,4,0,0,1,0,0,0,0,0,0
9,4117,אום אל-פחם,2710,25,35.142063,32.510051,שכ עין ג'ראר אום אל-פחם,31,0,610,334,4,330,2,0,321,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0
9,4118,אום אל-פחם,2710,26,35.148529,32.517127,אום אל-פחם,30,0,635,361,4,357,0,0,338,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,0,0,0,8,0,0,0,0,0,0,0,0,0
